Command,Hex Code,ASCII
Sharpness +,21 89 01 52 43 37 33 37 45 0A,7E
"Sharpness Adj.
(Adjustment Bar On/Off toggle)",21 89 01 52 43 37 33 31 34 0A,14
Shutter - Close (HD550/950/990/X3/X7/X9/ X30/X70/X90/RS15/25/35/40/50/60/45/55/65),21 89 01 52 43 37 33 31 39 0A,19
Shutter - Open (HD550/950/990/X3/X7/X9/ X30/X70/X90/RS15/25/35/40/50/60/45/55/65),21 89 01 52 43 37 33 31 41 0A,1A
Shutter - Off - Un-synchronises shutter with “Hide” function (HD550/950/990/X3/X7/X9/ X30/X70/X90/RS15/25/35/40/50/60/45/55/65),21 89 01 52 43 37 33 32 44 0A,2D
"Shutter - On - Synchronises shutter with “Hide” function (HD550/950/990/X3/X7/X9/
X30/X70/X90/RS15/25/35/40/50/60/45/55/65)",21 89 01 52 43 37 33 32 43 0A,2C
Test Pattern (cycles through all patterns) (HD350/550/750/950/990/RS10/15/20/25/35),21 89 01 52 43 37 33 35 39 0A,59
THX - Bright (X7/X9/X70/X90/RS50/60/55/65),21 89 01 52 43 37 33 38 35 0A,85
THX - Dark (X7/X9/X70/X90/RS50/60/55/65),21 89 01 52 43 37 33 38 36 0A,86
THX - Off (X7/X9/X70/X90/RS50/60/55/65),21 89 01 52 43 37 33 43 37 0A,C7
THX - On (X7/X9/X70/X90/RS50/60/55/65),21 89 01 52 43 37 33 43 38 0A,C8
Tint – (X3/X7/X9/X30/X70/X90/RS40/ 50/60/45/55/65),21 89 01 52 43 37 33 39 39 0A,99
Tint + (X3/X7/X9/X30/X70/X90/RS40/ 50/60/45/55/65),21 89 01 52 43 37 33 39 38 0A,98
Tint Adj. (Adjustment Bar On/Off toggle),21 89 01 52 43 37 33 31 36 0A,16
"Tracking – (PC Input)
(X7/X9/X70/X90/RS50/60/55/65)",21 89 01 52 43 37 33 41 37 0A,A7
"Tracking + (PC Input)
(X7/X9/X70/X90/RS50/60/55/65)",21 89 01 52 43 37 33 41 36 0A,A6
User - Cycles through User 1 - User 5 Picture Modes (X30/X70/X90/RS45/55/65),21 89 01 52 43 37 33 44 37 0A,D7
"Vertical Position –
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 41 44 0A,AD
"Vertical Position +
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 41 43 0A,AC
"Vertical Stretch - Off
(HD350/550/750/950/990/RS10/15/20/25/35) Anamorphic - Off
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 32 34 0A,24
"Vertical Stretch - On
(HD350/550/750/950/990/RS10/15/20/25/35) Anamorphic - A
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 32 33 0A,23
